Name,Court,Position,Biodata,DOB,City_Village_Birth,District_Birth,State_Birth,Start_Date_Appointment,End_Date_Appointment,Reason_Leaving_Appointment,Sex_Source,Sex,ID,Source_of_Recruitment,Enrollment_Year,LLB_Institutition,Other_Bachelors_Institution,Other_Bachelors_Degree,Other_Masters_Degree,Other_Masters_Institution,LLM_Institutition,PhD_Instituition,PhD_Subject,Processed_Name_For_Merges,Image,Duplicated_Jud
SMT. JUSTICE T.MEENA KUMARI,Andhra Pradesh High Court,Judge,"Hon'ble Mrs. Justice T. Meena Kumari was born on 3rd August, 1951 to late Shri Janapareddy Ramakrishna Rao Naidu and late Smt. J. Rajamani, hailed from Yalamanchili village of Visakhapatnam district, grand-daughter of late Dr. Padmasri Venkataswamy Naidu, a famous violinist of South India. Her father was lawyer by profession. After B.Sc., she took law degree from Osmania University. Enrolled as an Advocate in Bar Council of Andhra Pradesh and started practicing as an Advocate in High Court of Andhra Pradesh since 7th October, 1976. She worked as a Junior to Shri P. Shiv Shanker, Senior Advocate and former Judge of High Court of Andhra Pradesh, who is her brother-in-law. Her husband Shri Toom Bheemsen is also a practicing Advocate. She was Standing Counsel to Andhra Pradesh Dairy Development Corporation, Hyderabad, Andhra Pradesh Residential Educational Institutions Society, Hyderabad and also worked as an Assistant Government Pleader from 1981 to 1984, and worked as Junior Standing Counsel for Income-Tax Department in High Court of Andhra Pradesh from 1988 to 1989. She was appointed as Government Pleader in Andhra Pradesh High Court from 1990 to end of 1994, holding charge of Departments like Education, Civil Supplies, Pollution Control, energy etc., She was elevated as Additional Judge of High Court of Andhra Pradesh and was sworn in on 23.2.1998. Later, she was transferred to Madras High Court and has taken charge on 23.3.1998. Became permanent Judge on 17.6.1999. Re-transferred to the High Court of Andhra Pradesh and is sworn-in as a Judge of High Court of Andhra Pradesh on 5.9.2001. Appointed to perform the duties of the office of the Chief Justice of High Court of Andhra Pradesh from 11.02.2010 to 18.02.2010. Transferred as Judge of Patna High Court and relinquished the charge of office on 26.10.2010 A.N.]",03.08.1951,Yalamanchili,Visakhapatnam,Andhra Pradesh,18.02.2010,26.10.2010,Transfer or Promotion,M,F,2396,BAR,1976,"Osmania University, Hyderabad",,B. Sc.,,,,,,T.MEENA KUMARI,https://tshc.gov.in//img/fjudges/tmkj.jpg,
SMT. JUSTICE T.MEENA KUMARI,Patna High Court,Judge,"Hon'ble Mrs. Justice T. Meena Kumari was born on 3rd August, 1951 to late Shri Janapareddy Ramakrishna Rao Naidu and late Smt. J. Rajamani, hailed from Yalamanchili village of Visakhapatnam district, grand-daughter of late Dr. Padmasri Venkataswamy Naidu, a famous violinist of South India. Her father was lawyer by profession. After B.Sc., she took law degree from Osmania University. Enrolled as an Advocate in Bar Council of Andhra Pradesh and started practicing as an Advocate in High Court of Andhra Pradesh since 7th October, 1976. She worked as a Junior to Shri P. Shiv Shanker, Senior Advocate and former Judge of High Court of Andhra Pradesh, who is her brother-in-law. Her husband Shri Toom Bheemsen is also a practicing Advocate. She was Standing Counsel to Andhra Pradesh Dairy Development Corporation, Hyderabad, Andhra Pradesh Residential Educational Institutions Society, Hyderabad and also worked as an Assistant Government Pleader from 1981 to 1984, and worked as Junior Standing Counsel for Income-Tax Department in High Court of Andhra Pradesh from 1988 to 1989. She was appointed as Government Pleader in Andhra Pradesh High Court from 1990 to end of 1994, holding charge of Departments like Education, Civil Supplies, Pollution Control, energy etc., She was elevated as Additional Judge of High Court of Andhra Pradesh and was sworn in on 23.2.1998. Later, she was transferred to Madras High Court and has taken charge on 23.3.1998. Became permanent Judge on 17.6.1999. Re-transferred to the High Court of Andhra Pradesh and is sworn-in as a Judge of High Court of Andhra Pradesh on 5.9.2001. Appointed to perform the duties of the office of the Chief Justice of High Court of Andhra Pradesh from 11.02.2010 to 18.02.2010. Transferred as Judge of Patna High Court and relinquished the charge of office on 26.10.2010 A.N.]",03.08.1951,Yalamanchili,Visakhapatnam,Andhra Pradesh,,26.10.2010,,M,F,2396,BAR,1976,"Osmania University, Hyderabad",,B. Sc.,,,,,,T.MEENA KUMARI,https://tshc.gov.in//img/fjudges/tmkj.jpg,
SMT. JUSTICE T.RAJANI,High Court of Judicature at Hyderabad for the State of Telangana and the State of Andhra Pradesh,Judge,"Born on 06.11.1958 in Annambhotlavari palem, Prakasam District to Smt.Ramathulasamma and Venkatappaiah. Prosecuted School and College studies at Guntur. Joined in Andhra University for Law in 1977 and completed Law in 1980. Got enrolled for law practice in April, 1981. Practised Law in Guntur from 1981 till getting selection as District Judge in August, 2002. After 4½ months of training at Judicial Academy, posted as II Additional District Judge in Karimnagar and later worked as I Additional District Judge, Karimnagar; Judge Mahila Court, Hyderabad; Economic Offences Court, Hyderabad; District Judge, Medak; and Metropolitan Sessions Judge, Hyderabad. Elevated to High Court on 17.01.2017. Laid down office on 05.11.2020 A.N., on attaining the age of superannuation.",06.11.1958,Annambhotlavari palem,Prakasam,Andhra Pradesh,17.01.2017,31.12.2018,Transfer or Promotion,,F,3850,SERVICE,1981,Andhra University,,,,,,,,T.RAJANI,,
SMT. JUSTICE T.RAJANI,Andhra Pradesh High Court,Judge,"Born on 06.11.1958 in Annambhotlavari palem, Prakasam District to Smt.Ramathulasamma and Venkatappaiah. Prosecuted School and College studies at Guntur. Joined in Andhra University for Law in 1977 and completed Law in 1980. Got enrolled for law practice in April, 1981. Practised Law in Guntur from 1981 till getting selection as District Judge in August, 2002. After 4½ months of training at Judicial Academy, posted as II Additional District Judge in Karimnagar and later worked as I Additional District Judge, Karimnagar; Judge Mahila Court, Hyderabad; Economic Offences Court, Hyderabad; District Judge, Medak; and Metropolitan Sessions Judge, Hyderabad. Elevated to High Court on 17.01.2017. Laid down office on 05.11.2020 A.N., on attaining the age of superannuation.",06.11.1958,Annambhotlavari palem,Prakasam,Andhra Pradesh,01.01.2019,05.11.2020,Formal Retirement,,F,3850,SERVICE,1981,Andhra University,,,,,,,,T.RAJANI,,
"Smt. M. S. JAWALKAR, J.",Bombay High Court,Additional Judge,"Born on 26th May, 1964. Completed middle and higher education at Nagpur. Completed LLB (5 years) in First Division at Dr. Babasaheb Ambedkar College of Law at Nagpur in 1989. Completed LLM (Constitution and Administrative Law) in 1992 from Nagpur University and also completed B.Com and M.Com as an external candidate from Nagpur University. Stood second in order of merit while completing Master Degree in Human Rights and Duties Education in 2003. Enrolled as an Advocate with Bar Council of Maharashtra and Goa in September, 1989. She was appointed as Executive Member of High Court Bar Association, Nagpur from 1996 to 1999. She was appointed as Secretary of Vidarbha Lady Lawyers Association. She has worked as Contributory Lecturer in Dr. Babasaheb Ambedkar College of Law, Nagpur. On standing first in the order of merit, she was selected as District Judge directly from Bar and was posted as District Judge-5 and Assistant Sessions Judge, Nasik in 2008. She was nominated by Hon'ble Supreme Court of India and National Judicial Academy as a Member of delegation visiting Australia for an academic exchange programme from 18.09.2009 to 27.09.2009. She was appointed as Judge, Family Court, Bandra from 01.06.2011 to 30.11.2011 and then as Joint Charity Commissioner, Greater Bombay Region from 01.12.2011 to 03.06.2013. She worked as District Judge-1 and Additional Sessions Judge at Amravati from 04.06.2013 to 19.04.2014. She took charge as Principal District and Sessions Judge at Parbhani from 21.04.2014 to 26.04.2017 and as Principal District and Sessions Judge at Bhandara from 02.05.2017 to 12.07.2017. She was appointed as First Chief Lady Judge at Small Causes Court, Mumbai from 13.07.2017 to 04.12.2019. Elevated as Additional Judge of the Bombay High Court on 05.12.2019.",26.05.1964,,,,05.12.2019,25.05.2026,,,F,1215,BAR,1989,Dr. Babasaheb Ambedkar Law College of Nagpur University,Nagpur University,B. Com.,M.Com.,Nagpur University,Nagpur University,,,"M. S. JAWALKAR, J.",,
Smt. Manjusha Namjoshi,Madhya Pradesh High Court,Judge,,,,,,18.10.2005,21.08.2009,,,F,2904,,,,,,,,,,,MANJUSHA NAMJOSHI,,
Smt. N. N. MHATRE,Bombay High Court,Additional Judge,"Smt. N. N. MHATRE B.Sc.,LL.B. Born on 20th September, 1955. Completed schooling from St. Mary's School, Pune. Graduated from Sophia College, Mumbai with Microbiology. Graduated in Law from Government Law College, Mumbai. Enrolled as an Advocate on the rolls of Bar Council of Maharashtra and Goa on 10th November, 1978. Practised in the Industrial Tribunal and Labour Court, Motor Accidents Claims Tribunal and the Bombay High Court. Sworn in as an Additional Judge of the High Court of Judicature at Bombay on 28th March, 2001. Sworn in as a Permanent Judge on 21st March, 2003.",,,,,28.03.2001,21.3.2003,Transfer or Promotion,,F,1049,SERVICE,1978,"Government Law College, Bombay","Sophia College, Mumbai",B. Sc.  Microbiology,,,,,,N. N. MHATRE,,
Smt. N. N. MHATRE,Bombay High Court,Judge,"Smt. N. N. MHATRE B.Sc.,LL.B. Born on 20th September, 1955. Completed schooling from St. Mary's School, Pune. Graduated from Sophia College, Mumbai with Microbiology. Graduated in Law from Government Law College, Mumbai. Enrolled as an Advocate on the rolls of Bar Council of Maharashtra and Goa on 10th November, 1978. Practised in the Industrial Tribunal and Labour Court, Motor Accidents Claims Tribunal and the Bombay High Court. Sworn in as an Additional Judge of the High Court of Judicature at Bombay on 28th March, 2001. Sworn in as a Permanent Judge on 21st March, 2003.",,,,,21.03.2003,,,,F,1049,SERVICE,1978,"Government Law College, Bombay","Sophia College, Mumbai",B. Sc.  Microbiology,,,,,,N. N. MHATRE,,
"Smt. P. V. GANEDIWALA, J.",Bombay High Court,Additional Judge,"Mrs. Pushpa Virendra Ganediwala, Judge, High Court of Judicature at Bombay, Nagpur Bench, Nagpur, was born on 11.03.1969 at Paratwada, District - Amravati. She was meritorious throughout her educational career and awarded Gold Medals in B.Com., LL.B. and LL.M. examinations. She has cleared NET - SET Examination in the very first attempt. She practised in Amravati District Court. She was panel Advocate for various Banks and Insurance Companies. She was Honorary Lecturer in various Colleges in Amravati and given Lectures to M.B.A. and LL.M. students of Amravati University. She was directly appointed as District Judge in 2007 and held postings as City Civil Court, Mumbai; District Court and Family Court at Nagpur; Joint Director of Maharashtra Judicial Academy MJA; Principal District & Sessions Judge, Nagpur; Registrar General, High Court of Judicature at Bombay and also Principal Judge at City Civil Court, Mumbai. She was elevated as Additional Judge of Bombay High Court on 13th February 2019.",11.03.1969,Paratwada,Amravati,Maharashtra,13.02.2019,12.02.2022,,,F,1218,BAR,,Law (not given),,B. Com.,,,Law (not given),,,"P. V. GANEDIWALA, J.",,
Smt. R. P. SONDURBALDOTA,Bombay High Court,Additional Judge,"Smt. R. P. SONDURBALDOTA B.Sc.,LL.B. 2008-2017 Born on 10th March, 1955 at Hubali, State of Karnataka, Graduated from Mumbai University, Faculty-B.Sc (Chemistry and MicroBiology). Graduated in Bachelor of Laws from Mumbai University. Enrolled as an Advocate in 1980. Started practising in the High Court of Judicature at Bombay, Bombay City Civil and Sessions Court at Bombay and the Court of Small Causes at Bombay. Handled mainly Civil and Writ Matters. Also conducted Criminal Appeals as Amicus Curiae. Founded Advocate P.R.Baldota Memorial Trust in the year 1998. The beneficiaries of the Trust are Law Students and Junior Lawyers upto the standing practice of five years in the State Of Maharashtra. Was appointed and selected on 15th January, 1992 as a Judge, Bombay City Civil and Sessions Court at Bombay. In March, 2004 appointed as Joint Director, Judicial Officers Training Institute, Nagpur. From July, 2004 to February, 2005 worked as Principal District Judge, Nagpur and from Februrary, 2005 to 4th March, 2006 as Principal District Judge, Jalgaon and then from 6th March, 2006 as Principal District Judge, Pune. Appointed as Officer on Special Duty, High Court, Bombay on 30th April, 2007. From 7.5.2007 till 15th April, 2008 worked as Registrar General, High Court, Bombay. Elavated as Additional Judge of the Bombay High Court on 16th April 2008.",10.03.1955,Hubali,Dharwad,Karnataka,16.04.2008,31.12.2017,,,F,1084,SERVICE,1980,Mumbai University,University of Mumbai,B. Sc.,,,,,,R. P. SONDURBALDOTA,,
Smt. R. S. DALVI,Bombay High Court,Judge,"Smt. R. S. DALVI B.Com,LL.M. 2005-2015 Roshan Dalvi had completed B.Com. in 1973 with Specialisation in Business Management and LL.M. in 1978 from University of Bombay. She was appointed Fellow of Government Law College and awarded Merit Scholarship of University of Bombay (LL.M). She practiced as a counsel on the Original Side of the Bombay High Court from August 1976 to September 1989 in Civil and Corporate matters. She was a visiting faculty at The Jamnalal Bajaj Institute of Management Studies and Narsee Monjee Institute of Management Studies for Corporate Law between 1979 and 1989. She was appointed Judge, Bombay City Civil and Sessions Court in September 1989, served as Principal Judge, Family Court, Mumbai from July 2004 to December 2004 and elevated to the Bombay High Court Bench in June, 2005. She has conducted workshops for Judicial Officers on various legal subjects at the National and State Judicial Academies. She was selected to participate in the Judicial Training Programme in Gender and Law at the University of Warwick, Coventry, UK in 1996 and is a Member of the Association of British Scholars ABS, Mumbai Chapter for undertaking various socio-legal programmes. She was invited to attend the meeting of the United Nations Office on Drugs and Crimes UNODC at Vienna, Austria for the Protocol on human trafficking in 2006. She has attended the Intensive Study Programme ISP in Judicial Training and Education at the Commonwealth Judicial Education Institute CJEI at Halifax, Canada in 2009. She was invited to the Annual Conference on South Asia to deliver the key-note address on Gender Perspectives in the Indian Constitution at the University of Wisconsin, USA in 2013. Retired on 06/11/2015.",,,,,01.06.2005,06.11.2015,Formal Retirement,,F,1077,,,Law (not given),,B. Com.,,,"University Department of Law, University of Mumbai",,,R. S. DALVI,,
Smt. R.P. DESAI,Bombay High Court,Additional Judge,"Smt. R.P. DESAI B.A., LL.B. She was born on 30.10.1949. She completed her graduation from the Elphinstone College Bombay in April 1970 with Economics and Politics as subjects. She took her law degree from Government Law College Bombay in April 1973. She was enrolled as an Advocate on 30.07.1973. She handled criminal and civil matters. She worked as a Junior of Justice S.C. Pratap when he was the bar. She was appointed Honorary Assistant Government Pleader in High Court in 1979 and thereafter she was appointed Assistant Government Pleader and Additional Public Prosecutor in High Court in 1983. In 1986, she was appointed as Special Public Prosecutor for Preventive Detention matters. From 1st November, 1995 she worked as Government Pleader, Appellate Side, High Court, Bombay. She was appointed as an Additional Judge of the Bombay High Court for a period of 2 years w.e.f. 15.04.1996. She is appointed as Permanent Judge of this Hon'ble Court on 12th April, 1998.",30.10.1949,,,,15.04.1996,12.4.1998,Transfer or Promotion,,F,1047,SERVICE,1973,"Government Law College, Bombay","Elphinstone College, Bombay",B. A.,,,,,,R.P. DESAI,,
Smt. R.P. DESAI,Bombay High Court,Judge,"Smt. R.P. DESAI B.A., LL.B. She was born on 30.10.1949. She completed her graduation from the Elphinstone College Bombay in April 1970 with Economics and Politics as subjects. She took her law degree from Government Law College Bombay in April 1973. She was enrolled as an Advocate on 30.07.1973. She handled criminal and civil matters. She worked as a Junior of Justice S.C. Pratap when he was the bar. She was appointed Honorary Assistant Government Pleader in High Court in 1979 and thereafter she was appointed Assistant Government Pleader and Additional Public Prosecutor in High Court in 1983. In 1986, she was appointed as Special Public Prosecutor for Preventive Detention matters. From 1st November, 1995 she worked as Government Pleader, Appellate Side, High Court, Bombay. She was appointed as an Additional Judge of the Bombay High Court for a period of 2 years w.e.f. 15.04.1996. She is appointed as Permanent Judge of this Hon'ble Court on 12th April, 1998.",30.10.1949,,,,12.04.1998,,Formal Retirement,,F,1047,SERVICE,1973,"Government Law College, Bombay","Elphinstone College, Bombay",B. A.,,,,,,R.P. DESAI,,
"Smt. REVATI MOHITE DERE, J.",Bombay High Court,Additional Judge,"Born at Pune; Justice Revati Mohite Dere did her schooling from St. Joseph's High School, Pashan, Pune; Passed H. Sc. from Ferguson College Arts, Pune - Received National Merit Certificate for standing in the Merit List; Justice Dere passed the Five Year Law Course from Symbiosis Law College, Pune - She secured a First Class with Distinction in B.S.L. and LL.B. - Stood 2nd in the Merit List, University of Pune (LL.B.); Studied LL. M. at the University of Cambridge, U. K., Recipient of the Cambridge Commonwealth Trust Scholarship for LL. M. After completing LL. M., Justice Dere joined the Chambers of her father, eminent Senior Advocate Vijayrao A. Mohite, at Pune; and thereafter the Chambers of Barrister Raja S. Bhosale in Mumbai. Justice Dere practiced in the High Court on the Criminal, Civil and Constitutional side and also in the Sessions Court. Worked as an Assistant Government Pleader, Writ Cell, High Court (Appellate Side), Mumbai; as a Senior Counsel (Group I & II) - Union of India; and as an Additional Public Prosecutor for the Union of India in the High Court. Before her elevation, she was appointed as a Government Pleader & Public Prosecutor, State of Maharashtra. Justice Dere appeared in several important matters, including P.I.L's and Confirmation Cases. Appointed as an Additional Judge of the Bombay High Court on 21st June, 2013. Elevated as Judge of the Bombay High Court on 2nd March, 2016.",17.04.1965,Pune,Pune,Maharashtra,21.06.2013,02.03.2016,,,F,1182,,,University Of Pune,"Ferguson College, Poona",B. Sc.,,,University of Cambridge (England),,,"REVATI MOHITE DERE, J.",,
"Smt. REVATI MOHITE DERE, J.",Bombay High Court,Judge,"Born at Pune; Justice Revati Mohite Dere did her schooling from St. Joseph's High School, Pashan, Pune; Passed H. Sc. from Ferguson College Arts, Pune - Received National Merit Certificate for standing in the Merit List; Justice Dere passed the Five Year Law Course from Symbiosis Law College, Pune - She secured a First Class with Distinction in B.S.L. and LL.B. - Stood 2nd in the Merit List, University of Pune (LL.B.); Studied LL. M. at the University of Cambridge, U. K., Recipient of the Cambridge Commonwealth Trust Scholarship for LL. M. After completing LL. M., Justice Dere joined the Chambers of her father, eminent Senior Advocate Vijayrao A. Mohite, at Pune; and thereafter the Chambers of Barrister Raja S. Bhosale in Mumbai. Justice Dere practiced in the High Court on the Criminal, Civil and Constitutional side and also in the Sessions Court. Worked as an Assistant Government Pleader, Writ Cell, High Court (Appellate Side), Mumbai; as a Senior Counsel (Group I & II) - Union of India; and as an Additional Public Prosecutor for the Union of India in the High Court. Before her elevation, she was appointed as a Government Pleader & Public Prosecutor, State of Maharashtra. Justice Dere appeared in several important matters, including P.I.L's and Confirmation Cases. Appointed as an Additional Judge of the Bombay High Court on 21st June, 2013. Elevated as Judge of the Bombay High Court on 2nd March, 2016.",17.04.1965,Pune,Pune,Maharashtra,02.03.2016,16.04.2027,,,F,1182,,,University Of Pune,"Ferguson College, Poona",B. Sc.,,,University of Cambridge (England),,,"REVATI MOHITE DERE, J.",,
"Smt. SADHANA S. JADHAV, J.",Bombay High Court,Additional Judge,"Born on 14th june, 1960 at Solapur School Education at St. Joseph's High school, Solapur and St. Anne's High School, Pune. College Education - B.A. in Political Science from Fergusson College, Pune. M.A. in Political Science and Public Administration from University of Pune. Law Gradution - from Symbiosis College, Pune. LL. M. University of Pune. Started practice - Directly at High Court of Bombay Bench at Aurangabad. On 12.8.1990 joined the Chamber of Advocate Shri Satyanarayan Loya at Aurangabad and worked with him till 1996. Major practice on Criminal Side. Appeared as Special Counsel for Airport Authority of India Ltd. & Cement Corporation of India. Eleveated as Additional Judge of Bombay High Court on 23rd January, 2012.",14.06.1960,Solapur,Solapur,Maharashtra,23.01.2012,13.06.2022,,,F,1177,,,"Symbiosis Law College, Pune","Ferguson College, Poona",B. A.  Political Science,M.A. Political Science,University of Pune,University of Pune,,,"SADHANA S. JADHAV, J.",,
Smt. Sarojni Saxena,Madhya Pradesh High Court,Judge,,,,,,27.09.1994,28.09.1994,,,F,2856,,,,,,,,,,,SAROJNI SAXENA,,
Smt. Sushma Shrivastava,Madhya Pradesh High Court,Judge,,,,,,15.05.2006,12.11.2011,,,F,2911,,,,,,,,,,,SUSHMA SHRIVASTAVA,,
Smt. V. K. TAHILRAMANI,Bombay High Court,Judge,"Smt. V. K. TAHILRAMANI B.A.Hons,LL.B,LL.M. 2001-2018 Born on 3rd October 1958. Obtained Sanad from the Bar Council of Maharashtra and Goa in July 1982 and started practice in the High Court as well as in the CIty Civil and Sessions Courts, Mumbai. Joined the office of father, Shri L.V. Kapse, Advocate. Had conducted several trials on Criminal and Civil Side. Was appointed on the Panel of Defence lawyers in the Sessions Court, Mumbai. Had taught the ""Law of Crimes"" subject as part time professor in K.C. Law College from 1987 to 1993.Was appointed as Assistant Government Pleader and Additional Public Prosecutor from February 1990. Was appointed as Government Pleader and Public Prosecutor on the Appellate side of the High Court of Bombay from 1st November 1997. Had succesfully argued a number of confirmation cases, appeals, bail applications, revisions, applications under various provisions of the law, such as I.P.C., Cr. P.C., Narcotic Drugs adn Psychotropic Substances Act, Detention matters under COFEPOSA Act, P.I.T.N.D.P.S Act, M.P.D.A, Act, N.S.A Act and cases under Bombay Police Act, Public Amusement Rules, parole, furlough, remission, prevention of corruption, supression of unlawful acts aganst the safety of Civil Aviation, Wild Life Protection Act, M.C.O.C.Act etc. Was elevated as a Judge of the High Court on 26th June 2001.",03.10.1958,,,,26.06.2001,31.12.2018,,,F,1090,BAR,1982,Law (not given),,B. A.,,,Law (not given),,,V. K. TAHILRAMANI,,
"Smt. V. V. KANKANWADI, J.",Bombay High Court,Additional Judge,"Born on 24.06.1964 at Bijapur in Karnataka State. Completed B.Com from People's College, Nanded & L.L.B. from Ismailsaheb Mulla Law Collecte, Satara. Holding Diploma in Cyber Law from Asian Law School. Stood 4th in Shivaji University in 1st year L.L.B. Comes from a family of Lawyer and Judicial Officers. Practiced on civil as well as criminal side at Satara, Pune & Bombay High Court Appellate Side between 1987 to 1992. Joined the judiciary on 1st July, 1992 as C.J.J.D. & JMFC at Thane. Thereafter worked in the same capacity at Kolhapur and Pune Cantonment. Promoted as Additional District & Sessions Judge on 26th March, 2002. Worked at Sangli, Jaysingpur, District Kolhapur. Transferred as Joint Director, Judicial Officers' Training Institute, Nagpur. Was sent on deputation to Maharashtra Judicial Academy at Uttan, Dist. Thane. Imparted training to more than 300-350 Judicial Officers. Worked as District & Sessions Judge at Nagpur & Sangli. Promoted as Principal District & Sessions Judge in June 2013. Worked in that position at Wardha & Solapur. Elevated as Additional Judge of High Court of Judicature at Bombay on 05th June, 2017.",24.06.1964,,,,05.06.2017,23.06.2026,,,F,1204,SERVICE,,"Ismailsaheb Mulla Law Collecte, Satara","People's College, Nanded",B. Com.,,,,,,"V. V. KANKANWADI, J.",,
Smt. Vimla Jain,Madhya Pradesh High Court,Judge,,,,,,13.09.2010,11.06.2014,,,F,2921,,,,,,,,,,,VIMLA JAIN,,
Smt.VASANTI A. NAIK,Bombay High Court,Judge,"Smt.VASANTI A. NAIK LL.B 2015-2018 Born on 3.5.1956. She completed her schooling from Mount Carmel School, Nagpur. Having secured Master's Degree in History, she obtained LL.B. Degree from Babasaheb Ambedkar College of Law, Nagpur. She was enrolled as an Advocate on 7th September 1981 and practiced under the able guidance of her father Shri V.R. Manohar, who is an eminent lawyer and former Advocate General for the State of Maharashtra. She practiced mainly on Civil and constitutional sides. During 1980 to 1990 she was associated with the Maharashtra Law Journal and the All India Reporter. She also worked as a Honorary Lecturer at Dr. Babasaheb Ambedkar College of Law, Nagpur for more than 10 years. Retired on 02/05/2018.",03.05.1956,,,,01.01.2015,02.05.2018,Formal Retirement,,F,1089,BAR,1981,Dr. Babasaheb Ambedkar Law College of Nagpur University,,,M.A. History,,,,,SMT.VASANTI A. NAIK,,
SRI B323 P. RAMACHANDRA RAJU,Andhra Pradesh High Court,Judge,"Hon'ble Sri Justice P.Ramachandra Raju was born on 8th April, 1923. Recipient of Sir John Wallace Gold Medal. Enrolled as an Advocate of Madras High Court on 30th July, 1945. Joined Judicial Service as District Munsif on 9-9-1950. Officiated as District and Sessions Judge from 17-9-1965 (A.N). Confirmed as District Judge. Grade-I on 17-10-1974. Appointed as an Additional Judge on 10th November, 1978. Appointed as permanent Judge of the High Court of Andhra Pradesh on 12-7-1979 A.N.]",08.04.1923,,,,12.07.1979,,,M,M,3947,SERVICE,1945,,,,,,,,,B323 P. RAMACHANDRA RAJU,https://tshc.gov.in//img/fjudges/prcrj.jpg,FALSE
SRI JUSTCE A.RAGHUVIR,Andhra Pradesh High Court,Judge,"Hon'ble Sri Justice A. Raghuvir was born on 22nd March, 1929. Educated at Mahaboobia College, Secunderabad, Osmania College, Warangal, Osmania University, Hyderabad. Had his Law Degree from Law College, Hyderabad. Enrolled as I-Grade Pleader on 3.8.1951 and as an Advocate on 10.10.1952 at the Erstwhile Hyderabad High Court. Worked as Government Pleader from 1967 to 1969. He was a Counsel for South Central Railway till appointment, as permanent Judge of the High Court of Andhra Pradesh with effect from 17.10.1974., Performed the functions of Chief Justice during 30.09.1958 to 09.10.1985 and 02.02.1988 to 18.03.1988. Appointed as Chief Justice Gauhathi High Court on 30.04.1988. Expired on 21.07.2007.]",22.03.1929,,,,17.10.1974,30.09.1985,Temporary Position,M,M,3957,BAR,1952,"Osmania University, Hyderabad","Osmania University, Hyderabad",,,,,,,JUSTCE A.RAGHUVIR,https://tshc.gov.in//img/fjudges/arj.jpg,FALSE
SRI JUSTCE A.RAGHUVIR,Andhra Pradesh High Court,Acting Chief Justice,"Hon'ble Sri Justice A. Raghuvir was born on 22nd March, 1929. Educated at Mahaboobia College, Secunderabad, Osmania College, Warangal, Osmania University, Hyderabad. Had his Law Degree from Law College, Hyderabad. Enrolled as I-Grade Pleader on 3.8.1951 and as an Advocate on 10.10.1952 at the Erstwhile Hyderabad High Court. Worked as Government Pleader from 1967 to 1969. He was a Counsel for South Central Railway till appointment, as permanent Judge of the High Court of Andhra Pradesh with effect from 17.10.1974., Performed the functions of Chief Justice during 30.09.1958 to 09.10.1985 and 02.02.1988 to 18.03.1988. Appointed as Chief Justice Gauhathi High Court on 30.04.1988. Expired on 21.07.2007.]",22.03.1929,,,,30.09.1985,09.10.1985 ,Transfer or Promotion,M,M,3957,BAR,1952,"Osmania University, Hyderabad","Osmania University, Hyderabad",,,,,,,JUSTCE A.RAGHUVIR,https://tshc.gov.in//img/fjudges/arj.jpg,
SRI JUSTCE A.RAGHUVIR,Andhra Pradesh High Court,Judge,"Hon'ble Sri Justice A. Raghuvir was born on 22nd March, 1929. Educated at Mahaboobia College, Secunderabad, Osmania College, Warangal, Osmania University, Hyderabad. Had his Law Degree from Law College, Hyderabad. Enrolled as I-Grade Pleader on 3.8.1951 and as an Advocate on 10.10.1952 at the Erstwhile Hyderabad High Court. Worked as Government Pleader from 1967 to 1969. He was a Counsel for South Central Railway till appointment, as permanent Judge of the High Court of Andhra Pradesh with effect from 17.10.1974., Performed the functions of Chief Justice during 30.09.1958 to 09.10.1985 and 02.02.1988 to 18.03.1988. Appointed as Chief Justice Gauhathi High Court on 30.04.1988. Expired on 21.07.2007.]",22.03.1929,,,,09.10.1985,02.02.1988,Temporary Position,M,M,3957,BAR,1952,"Osmania University, Hyderabad","Osmania University, Hyderabad",,,,,,,JUSTCE A.RAGHUVIR,https://tshc.gov.in//img/fjudges/arj.jpg,
SRI JUSTCE A.RAGHUVIR,Andhra Pradesh High Court,Acting Chief Justice,"Hon'ble Sri Justice A. Raghuvir was born on 22nd March, 1929. Educated at Mahaboobia College, Secunderabad, Osmania College, Warangal, Osmania University, Hyderabad. Had his Law Degree from Law College, Hyderabad. Enrolled as I-Grade Pleader on 3.8.1951 and as an Advocate on 10.10.1952 at the Erstwhile Hyderabad High Court. Worked as Government Pleader from 1967 to 1969. He was a Counsel for South Central Railway till appointment, as permanent Judge of the High Court of Andhra Pradesh with effect from 17.10.1974., Performed the functions of Chief Justice during 30.09.1958 to 09.10.1985 and 02.02.1988 to 18.03.1988. Appointed as Chief Justice Gauhathi High Court on 30.04.1988. Expired on 21.07.2007.]",22.03.1929,,,,02.02.1988,18.03.1988,Transfer or Promotion,M,M,3957,BAR,1952,"Osmania University, Hyderabad","Osmania University, Hyderabad",,,,,,,JUSTCE A.RAGHUVIR,https://tshc.gov.in//img/fjudges/arj.jpg,
